Bundle & Codes,,,,,,123,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,Type,"Auto
Result",Result,Step,,Code,,SKU List,,SKU ARRAY,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward / Extra Discount,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty (with Perfect Partner Considered),GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Persist or Clear Cart,Result: Total Price,Result: Full Item List,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Full Item List,Auto Test Results,Duration,Failed Reason
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,B2C,"
",,1,1,,,,,,,0,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,,,,,B2C,"
",,1,1,,,,,,,0,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX CRP Jul,,,,,,Jul 1-31,,,,,,,B2C,"
",,,,,,,,,,0,,,,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-01,"MX CRP 8% 
(A36, S25Edge)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy A36 5G, 8GB + 128GB, Awesome Black [SM-A3660ZKDTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-A3660ZKDTGY&&products[0].quantity=1&&products[1].productCode=SM-S9370LBGTGY&&products[1].quantity=1,"SM-A3660ZKDTGY, SM-S9370LBGTGY",SM-A3660ZKDTGY,B2C,"
",SM-A3660ZKDTGY,1,1,"2,698","2,698",,"2,698",200,,200,400.00,8%,NRP,"2,482.16","2,482.16","2,482.16",0.00,0.00,"2,482.16","11,128.32",0.00,"2,482.16","11,128.32",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Edge, 512GB+12GB, Titanium Icyblue [SM-S9370LBGTGY]",,,SM-S9370LBGTGY,B2C,"
",SM-S9370LBGTGY,1,1,"9,398","9,398",,"9,398",200,,200,,8%,NRP,"8,646.16","8,646.16","8,646.16",0.00,,"8,646.16",,,"8,646.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-02,"MX CRP 8% 
(GB4 GB5)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy Book5 Pro 360, 16""/i7/32GB/1TB, Gray [NP960QHA-KG1HK]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=NP960QHA-KG1HK&&products[0].quantity=1&&products[1].productCode=NP750XQA-KB2HK&&products[1].quantity=1,"NP960QHA-KG1HK, NP750XQA-KB2HK",NP960QHA-KG1HK,B2C,"
",NP960QHA-KG1HK,1,1,"16,180","16,180","13,180","13,180",780,,780,780.00,8%,NRP,"12,125.60","12,125.60","12,125.60",0.00,0.00,"12,125.60","18,731.20",0.00,"12,125.60","18,731.20",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Book4 Edge, 15.6""/X1P-42/16GB/512GB, Sapphire Blue [NP750XQA-KB2HK]",,,NP750XQA-KB2HK,B2C,"
",NP750XQA-KB2HK,1,1,"7,180","7,180",,"7,180",,,0,,8%,NRP,"6,605.60","6,605.60","6,605.60",0.00,,"6,605.60",,,"6,605.60",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-03,"MX CRP 8% 
(S10FE S10+)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy Tab S10 FE+, Gray, 8GB, 128GB [SM-X620NZAATGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-X620NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-X826BZAETGY&&products[1].quantity=1,"SM-X620NZAATGY, SM-X826BZAETGY",SM-X620NZAATGY,B2C,"
",SM-X620NZAATGY,1,1,"4,788","4,788",,"4,788","1,080",,"1,080","1,580.00",8%,NRP,"4,404.96","4,404.96","4,404.96",0.00,0.00,"4,404.96","11,661.92",0.00,"4,404.96","11,661.92",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10+ 5G, 12GB+512GB, Moonstone Gray [SM-X826BZAETGY]",,,SM-X826BZAETGY,B2C,"
",SM-X826BZAETGY,1,1,"9,888","9,888","7,888","7,888",500,,500,,8%,NRP,"7,256.96","7,256.96","7,256.96",0.00,,"7,256.96",,,"7,256.96",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-04,"MX CRP 8% 
(S25U normal)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy S25 Ultra, 1TB+16GB, Titanium Gray [SM-S9380ZTWTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZTWTGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZBGTGY&&products[1].quantity=1,"SM-S9380ZTWTGY, SM-S9380ZBGTGY",SM-S9380ZTWTGY,B2C,"
",SM-S9380ZTWTGY,1,1,"13,398","13,398","12,598","12,598",350,,350,700.00,8%,NRP,"11,590.16","11,590.16","11,590.16",0.00,0.00,"11,590.16","21,064.32",0.00,"11,590.16","21,064.32",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Silverblue [SM-S9380ZBGTGY]",,,SM-S9380ZBGTGY,B2C,"
",SM-S9380ZBGTGY,1,1,"10,898","10,898","10,298","10,298",350,,350,,8%,NRP,"9,474.16","9,474.16","9,474.16",0.00,,"9,474.16",,,"9,474.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-05,"MX CRP 8% 
(S25+ normal)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy S25+, 512GB+12GB, Silver Shadow [SM-S9360ZSGTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9360ZSGTGY&&products[0].quantity=1&&products[1].productCode=SM-S9360LBDTGY&&products[1].quantity=1,"SM-S9360ZSGTGY, SM-S9360LBDTGY",SM-S9360ZSGTGY,B2C,"
",SM-S9360ZSGTGY,1,1,"8,598","8,598","7,998","7,998",300,,300,300.00,8%,RRP,"7,910.16","7,910.16","7,910.16",0.00,0.00,"7,910.16","7,910.16",0.00,"7,910.16","7,910.16",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25+, 256GB+12GB, Icyblue [SM-S9360LBDTGY]",,,SM-S9360LBDTGY,B2C,"
0",SM-S9360LBDTGY,1,0,0,"7,598","7,298","7,298",0,,0,,8%,RRP,"6,990.16","6,990.16",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-06,"MX CRP 8% 
(S25 normal)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy S25, 512GB+8GB, Navy [SM-S9310DBHTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9310DBHTGY&&products[0].quantity=1&&products[1].productCode=SM-S9310LGGTGY&&products[1].quantity=1,"SM-S9310DBHTGY, SM-S9310LGGTGY",SM-S9310DBHTGY,B2C,"
",SM-S9310DBHTGY,1,1,"6,898","6,898",,"6,898",300,,300,600.00,8%,RRP,"6,346.16","6,346.16","6,346.16",0.00,0.00,"6,346.16","11,772.32",0.00,"6,346.16","11,772.32",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25, 256GB+8GB, Mint [SM-S9310LGGTGY]",,,SM-S9310LGGTGY,B2C,"
",SM-S9310LGGTGY,1,1,"5,898","5,898",,"5,898",300,,300,,8%,RRP,"5,426.16","5,426.16","5,426.16",0.00,,"5,426.16",,,"5,426.16",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-07,"MX CRP 12% 
(S25U selected)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy S25 Ultra, 1TB+16GB, Titanium Pinkgold, exclusive [SM-S9380ZDWTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZDWTGY&&products[0].quantity=1&&products[1].productCode=SM-S9380AKGTGY&&products[1].quantity=1,"SM-S9380ZDWTGY, SM-S9380AKGTGY",SM-S9380ZDWTGY,B2C,"
",SM-S9380ZDWTGY,1,1,"13,398","13,398","12,598","12,598",350,,350,700.00,12%,NRP,"11,086.24","11,086.24","11,086.24",0.00,0.00,"11,086.24","20,148.48",0.00,"11,086.24","20,148.48",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Jetblack, exclusive [SM-S9380AKGTGY]",,,SM-S9380AKGTGY,B2C,"
",SM-S9380AKGTGY,1,1,"10,898","10,898","10,298","10,298",350,,350,,12%,NRP,"9,062.24","9,062.24","9,062.24",0.00,,"9,062.24",,,"9,062.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-08,"MX CRP 12% 
(S25U S25+ 
selected)",,,,1,Add all to cart using this link,Add code: CRP Offers (CR9),CR9-F7YH-911Z-ED53,"Galaxy S25 Ultra, 256GB+12GB, Titanium Pinkgold, exclusive [SM-S9380ZDDTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9380ZDDTGY&&products[0].quantity=1&&products[1].productCode=SM-S9360ZRGTGY&&products[1].quantity=1,"SM-S9380ZDDTGY, SM-S9360ZRGTGY",SM-S9380ZDDTGY,B2C,"
",SM-S9380ZDDTGY,1,1,"9,898","9,898","9,398","9,398",350,,350,650.00,12%,NRP,"8,270.24","8,270.24","8,270.24",0.00,0.00,"8,270.24","15,308.48",0.00,"8,270.24","15,308.48",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25+, 512GB+12GB, Coralred, exclusive [SM-S9360ZRGTGY]",,,SM-S9360ZRGTGY,B2C,"
",SM-S9360ZRGTGY,1,1,"8,598","8,598","7,998","7,998",300,,300,,12%,NRP,"7,038.24","7,038.24","7,038.24",0.00,,"7,038.24",,,"7,038.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-09,"MX CRP 12% 
(S25+ S25
selected)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,"Galaxy S25+, 256GB+12GB, Blueblack, exclusive [SM-S9360ZKDTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9360ZKDTGY&&products[0].quantity=1&&products[1].productCode=SM-S9310ZKGTGY&&products[1].quantity=1,"SM-S9360ZKDTGY, SM-S9310ZKGTGY",SM-S9360ZKDTGY,B2C,"
",SM-S9360ZKDTGY,1,1,"7,598","7,598","7,298","7,298",300,,300,600.00,12%,NRP,"6,422.24","6,422.24","6,422.24",0.00,0.00,"6,422.24","11,612.48",0.00,"6,422.24","11,612.48",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25, 256GB+8GB, Blueblack, exclusive [SM-S9310ZKGTGY]",,,SM-S9310ZKGTGY,B2C,"
",SM-S9310ZKGTGY,1,1,"5,898","5,898",,"5,898",300,,300,,12%,NRP,"5,190.24","5,190.24","5,190.24",0.00,,"5,190.24",,,"5,190.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-10,"MX CRP 12% 
(S24 mass)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,"Galaxy S24 Ultra, 512GB, Titanium Gray [SM-S9280ZTHTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9280ZTHTGY&&products[0].quantity=1&&products[1].productCode=SM-S9280ZTGTGY&&products[1].quantity=1,"SM-S9280ZTHTGY, SM-S9280ZTGTGY",SM-S9280ZTHTGY,B2C,"
0",SM-S9280ZTHTGY,1,0,0,"10,098","8,886","8,886",0,,0,0.00,12%,NRP,"7,819.68","7,819.68",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S24 Ultra, 256GB, Titanium Gray [SM-S9280ZTGTGY]",,,SM-S9280ZTGTGY,B2C,"
0",SM-S9280ZTGTGY,1,0,0,"9,098","8,006","8,006",0,,0,,12%,NRP,"7,045.28","7,045.28",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-11,"MX CRP 12% 
(A56, S24 FE)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,"Galaxy S24 FE, Blue, 8+256GB [SM-S7210LBGTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S7210LBGTGY&&products[0].quantity=1&&products[1].productCode=SM-A5660ZKDTGY&&products[1].quantity=1,"SM-S7210LBGTGY, SM-A5660ZKDTGY",SM-S7210LBGTGY,B2C,"
",SM-S7210LBGTGY,1,1,"5,498","5,498","5,248","5,248",100,,100,300.00,12%,NRP,"4,618.24","4,618.24","4,618.24",0.00,0.00,"4,618.24","7,872.48",0.00,"4,618.24","7,872.48",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy A56 5G, 12GB + 256GB, Awesome Graphite [SM-A5660ZKDTGY]",,,SM-A5660ZKDTGY,B2C,"
",SM-A5660ZKDTGY,1,1,"3,698","3,698",,"3,698",200,,200,,12%,NRP,"3,254.24","3,254.24","3,254.24",0.00,,"3,254.24",,,"3,254.24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-12,"MX CRP 15% 
(S24 Excl)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,"Galaxy S24 Ultra, 512GB, Titanium Blue (eStore) [SM-S9280LBHTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9280LBHTGY&&products[0].quantity=1&&products[1].productCode=SM-S9280ZOGTGY&&products[1].quantity=1,"SM-S9280LBHTGY, SM-S9280ZOGTGY",SM-S9280LBHTGY,B2C,"
",SM-S9280LBHTGY,1,1,"10,098","10,098","8,886","8,886",500,,500,"1,000.00",15%,NRP,"7,553.10","7,553.10","7,553.10",0.00,0.00,"7,553.10","14,358.20",0.00,"7,553.10","14,358.20",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S24 Ultra, 256GB, Titanium Orange (eStore) [SM-S9280ZOGTGY]",,,SM-S9280ZOGTGY,B2C,"
",SM-S9280ZOGTGY,1,1,"9,098","9,098","8,006","8,006",500,,500,,15%,NRP,"6,805.10","6,805.10","6,805.10",0.00,,"6,805.10",,,"6,805.10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-13,"MX CRP 20% 
(S25U Excl)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,"Galaxy S25 Ultra, 512GB+12GB, Titanium Jetblack, exclusive [SM-S9380AKGTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9380AKGTGY&&products[0].quantity=1&&products[1].productCode=SM-S9380ZDGTGY&&products[1].quantity=1,"SM-S9380AKGTGY, SM-S9380ZDGTGY",SM-S9380AKGTGY,B2C,"
",SM-S9380AKGTGY,1,1,"10,898","10,898","10,298","10,298",350,,350,700.00,20%,NRP,"8,238.40","8,238.40","8,238.40",0.00,0.00,"8,238.40","16,476.80",0.00,"8,238.40","16,476.80",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25 Ultra, 512GB+12GB, Titanium Pinkgold, exclusive [SM-S9380ZDGTGY]",,,SM-S9380ZDGTGY,B2C,"
",SM-S9380ZDGTGY,1,1,"10,898","10,898","10,298","10,298",350,,350,,20%,NRP,"8,238.40","8,238.40","8,238.40",0.00,,"8,238.40",,,"8,238.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-14,"MX CRP 20% 
(S25+ Excl)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,"Galaxy S25 Ultra, 256GB+12GB, Titanium Jetblack, exclusive [SM-S9380AKDTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9380AKDTGY&&products[0].quantity=1&&products[1].productCode=SM-S9360ZKGTGY&&products[1].quantity=1,"SM-S9380AKDTGY, SM-S9360ZKGTGY",SM-S9380AKDTGY,B2C,"
",SM-S9380AKDTGY,1,1,"9,898","9,898","9,398","9,398",350,,350,650.00,20%,NRP,"7,518.40","7,518.40","7,518.40",0.00,0.00,"7,518.40","13,916.80",0.00,"7,518.40","13,916.80",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy S25+, 512GB+12GB, Blueblack, exclusive [SM-S9360ZKGTGY]",,,SM-S9360ZKGTGY,B2C,"
",SM-S9360ZKGTGY,1,1,"8,598","8,598","7,998","7,998",300,,300,,20%,NRP,"6,398.40","6,398.40","6,398.40",0.00,,"6,398.40",,,"6,398.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MX-CRP-15,"MX CRP 20% 
(S25 Excl, Tab S10U)",,,,1,Add all to cart using this link,Add code: B7Q7 HR game 100GC - 1,YR1-A2H4-2B6M-HPZA,"Galaxy S25, 512GB+8GB, Pinkgold, exclusive [SM-S9310ZDHTGY]",https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=SM-S9310ZDHTGY&&products[0].quantity=1&&products[1].productCode=SM-X920NZAETGY&&products[1].quantity=1,"SM-S9310ZDHTGY, SM-X920NZAETGY",SM-S9310ZDHTGY,B2C,"
",SM-S9310ZDHTGY,1,1,"6,898","6,898",,"6,898",300,,300,800.00,20%,NRP,"5,518.40","5,518.40","5,518.40",0.00,0.00,"5,518.40","11,908.80",0.00,"5,518.40","11,908.80",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,B2C Cart Link,,,"Galaxy Tab S10 Ultra Wifi, 12GB+512GB, Moonstone Gray [SM-X920NZAETGY]",,,SM-X920NZAETGY,B2C,"
",SM-X920NZAETGY,1,1,"10,588","10,588","7,988","7,988",500,,500,,20%,NRP,"6,390.40","6,390.40","6,390.40",0.00,,"6,390.40",,,"6,390.40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
