Bundle SPP,,,,,,110,,,GTI Samsung SKU,,,,,,352576783124483,,,Acceptance Crieria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tester,Case,Type,"Auto
Result",Result,Step,,Code,,SKU List,,,SKU,Store,,Add to cart link,Qty,Qty Adjusted,RRP x Qty,RRP,NRP,Normal price per unit,GC Rewarded,Extra GC Reward,GC + Extra GC Reward,Total GC Rewarded,Item level discount,on RRP / NRP,Discounted price per unit,Discounted price (NRP considered),Actual discounted price x Qty (with Perfect Partner Considered),GC Eligible,Total GC Eligible,Item price after GC,Total price after GC,Cart level discount,Expectyed item price in cart,Total Cart Price,Free Premiums / Other acceptance crieria to check,Persist or Clear Cart,Result: Total Price,Result: Full Item List,Status,Screemshot of Cart,"Temp Order ID /
Comment / Reasons of Fail",Fix Status,,Time,Line,Case,Total Price in Cart,Total Price in Cart,"Total Price
Result",Extra Premium,Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Extra Premium,Qty,"Extra Premium
Result",Full Item List,Auto Test Results,Duration,Failed Reason
EXPIRED-TAB-03,"S25 Tab S10FE
(stopped Jul1)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy S25+, 512GB+12GB, Navy [SM-S9360DBGTGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360DBGTGY&&products[0].quantity=1&&products[1].productCode=SM-X520NZAETGY&&products[1].quantity=1,"SM-S9360DBGTGY, SM-X520NZAETGY",SM-S9360DBGTGY,SPP,"
",SM-S9360DBGTGY,1,1,"8,598","8,598","7,136","7,136",300,,,0.00,,,,"7,136.00","7,136.00",0.00,0.00,"7,136.00","10,669.00",0.00,"7,136.00","10,669.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE, Gray, 12GB, 256GB [SM-X520NZAETGY]",,,SM-X520NZAETGY,SPP,"
",SM-X520NZAETGY,1,1,"4,588","4,588","3,533","3,533","1,080",,,,,,,"3,533.00","3,533.00",0.00,,"3,533.00",,,"3,533.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRED-TAB-04,"S25 Tab S10FE
(stopped Jul1)",Perfect Partner,,,1,Add all to cart using this link,,,"Galaxy S25, 256GB+8GB, Mint [SM-S9310LGGTGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9310LGGTGY&&products[0].quantity=1&&products[1].productCode=SM-X520NZAATGY&&products[1].quantity=1,"SM-S9310LGGTGY, SM-X520NZAATGY",SM-S9310LGGTGY,SPP,"
",SM-S9310LGGTGY,1,1,"5,898","5,898","5,013","5,013",300,,,0.00,,,,"5,013.00","5,013.00",0.00,0.00,"5,013.00","7,930.00",0.00,"5,013.00","7,930.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Tab S10 FE, Gray, 8GB, 128GB [SM-X520NZAATGY]",,,SM-X520NZAATGY,SPP,"
",SM-X520NZAATGY,1,1,"3,788","3,788","2,917","2,917","1,080",,,,,,,"2,917.00","2,917.00",0.00,,"2,917.00",,,"2,917.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRED-WU,"WU B3
(stopped)",,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L705FDAATGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-L705FDAATGY",SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,,0.00,,,,"1,049.00","1,049.00",0.00,0.00,"1,049.00","1,049.00",0.00,"1,049.00","1,049.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch Ultra, Titanium Gray [SM-L705FDAATGY]",,,SM-L705FDAATGY,SPP,"
0",SM-L705FDAATGY,1,0,"5,098","5,098","3,824","3,824",,,,,,,,"3,824.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRE-04,"W7 L310 B3
(stopped Jul1)",,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L310NZGATGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-L310NZGATGY",SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,,0.00,,,,"1,049.00","1,049.00",0.00,"1,949.00","1,049.00","2,998.00",0.00,"1,049.00","2,998.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"Galaxy Watch7 44mm (BT), Green [SM-L310NZGATGY]",,,SM-L310NZGATGY,SPP,"
",SM-L310NZGATGY,1,1,"2,198","2,198","1,949","1,949",,,,,,,,"1,949.00","1,949.00","1,949.00",,"1,949.00",,,"1,949.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRE-06,"W7 L300 B3
(stopped Jul1)",,,,,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=SM-L300NZEATGY&&products[1].quantity=1,"SM-R530NZAATGY, SM-L300NZEATGY",SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,,0.00,,,,"1,049.00","1,049.00",0.00,0.00,"1,049.00","1,049.00",0.00,"1,049.00","1,049.00",0 x  Z-AVDAVOUCHER,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SPP Cart Link,,,"Galaxy Watch7 40mm (BT), Cream [SM-L300NZEATGY]",,,SM-L300NZEATGY,SPP,"
0",SM-L300NZEATGY,1,0,"1,998","1,998","1,799","1,799",,,,,,,,"1,799.00",0.00,0.00,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRE-AVDA-01,"S25 AVDA Offer - <10000
(stopped Jul1)",,,,,Add all to cart using this link,,,"Galaxy S25+, 256GB+12GB, Mint [SM-S9360LGDTGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360LGDTGY&&products[0].quantity=1&&products[1].productCode=LS27FG816SCXXK&&products[1].quantity=1,"SM-S9360LGDTGY, LS27FG816SCXXK",SM-S9360LGDTGY,SPP,"
",SM-S9360LGDTGY,1,1,"7,598","7,598","6,458","6,458",300,,,0.00,,,,"6,458.00","6,458.00",0.00,0.00,"6,458.00","14,360.00",0.00,"6,458.00","14,360.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SPP Cart Link,,,"27"" Odyssey OLED G8 G81SF Gaming Monitor (240Hz) [LS27FG816SCXXK]",,,LS27FG816SCXXK,SPP,"
",LS27FG816SCXXK,1,1,"8,980","8,980","7,902","7,902",,,,,,,,"7,902.00","7,902.00",0.00,,"7,902.00",,,"7,902.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRE-AVDA-02,"S25 AVDA Offer - 10000-19999 
(stopped Jul1)",,,,,Add all to cart using this link,,,"Galaxy S25+, 256GB+12GB, Mint [SM-S9360LGDTGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360LGDTGY&&products[0].quantity=1&&products[1].productCode=QA48S90FAEXZK&&products[1].quantity=1,"SM-S9360LGDTGY, QA48S90FAEXZK",SM-S9360LGDTGY,SPP,"
",SM-S9360LGDTGY,1,1,"7,598","7,598","6,458","6,458",300,,,0.00,,,,"6,458.00","6,458.00",0.00,0.00,"6,458.00","17,880.00",0.00,"6,458.00","17,880.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SPP Cart Link,,,"48"" OLED S90F (2025) [QA48S90FAEXZK]",,,QA48S90FAEXZK,SPP,"
",QA48S90FAEXZK,1,1,"13,980","13,980","11,422","11,422",,,,,,,,"11,422.00","11,422.00",0.00,,"11,422.00",,,"11,422.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPIRE-AVDA-03,"S25 AVDA Offer - >=20000
(stopped Jul1)",,,,,Add all to cart using this link,,,"Galaxy S25+, 256GB+12GB, Mint [SM-S9360LGDTGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-S9360LGDTGY&&products[0].quantity=1&&products[1].productCode=QA65QN990FJXZK&&products[1].quantity=1,"SM-S9360LGDTGY, QA65QN990FJXZK",SM-S9360LGDTGY,SPP,"
",SM-S9360LGDTGY,1,1,"7,598","7,598","6,458","6,458",300,,,0.00,,,,"6,458.00","6,458.00",0.00,0.00,"6,458.00","47,800.00",0.00,"6,458.00","47,800.00",,Clear,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,SPP Cart Link,,,"65"" Neo QLED 8K QN990 (2025) [QA65QN990FJXZK]",,,QA65QN990FJXZK,SPP,"
",QA65QN990FJXZK,1,1,"46,980","46,980","41,342","41,342",,,,,,,,"41,342.00","41,342.00",0.00,,"41,342.00",,,"41,342.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,Persist,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Add all to cart using this link,,,,https://shop.samsung.com/hk/ng/p4v1/addToCart?products[0].productCode=&&products[0].quantity=1&&products[1].productCode=&&products[1].quantity=1,,,,"
",,1,1,,,,,,,,0.00,,,,,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,,#REF!,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,B2C Cart Link,,,,,,,,"
",,1,1,,,,,,,,,,,,,0.00,,,0.00,,,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE Critcal Jul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00,,,,,,,,,,,,,,,,-,,,,,,,,,,,,,,,,,,,,
TV-MBO-01,TV WU 2024,,,,1,Add all to cart using this link,,,"Galaxy Watch Ultra, Titanium Gray [SM-L705FDAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L705FDAATGY&&products[0].quantity=1&&products[1].productCode=QA55QN90FAJXZK&&products[1].quantity=1,"SM-L705FDAATGY, QA55QN90FAJXZK",SM-L705FDAATGY,SPP,"
0",SM-L705FDAATGY,1,0,"5,098","5,098","3,824","3,824",,,,0.00,500,RRP,"3,824.00","3,824.00",0.00,0.00,0.00,0.00,"16,086.00",0.00,0.00,"16,086.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"55"" Neo QLED 4K QN90F (2025) [QA55QN90FAJXZK]",,,QA55QN90FAJXZK,SPP,"
",QA55QN90FAJXZK,1,1,"18,280","18,280","16,086","16,086",,,,,,,,"16,086.00","16,086.00",0.00,,"16,086.00",,,"16,086.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"TV W7 44LTE
(starting Jul 15)",,,,1,Add all to cart using this link,,,"Galaxy Watch7 44mm (BT), Green [SM-L310NZGATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-L310NZGATGY&&products[0].quantity=1&&products[1].productCode=QA65QN90FAJXZK&&products[1].quantity=1,"SM-L310NZGATGY, QA65QN90FAJXZK",SM-L310NZGATGY,SPP,"
",SM-L310NZGATGY,1,1,"2,198","2,198","1,949","1,949",,,,0.00,200,RRP,"1,949.00","1,949.00","1,949.00","1,949.00","1,949.00","1,949.00","22,171.00",0.00,"1,949.00","22,171.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"65"" Neo QLED 4K QN90F (2025) [QA65QN90FAJXZK]",,,QA65QN90FAJXZK,SPP,"
",QA65QN90FAJXZK,1,1,"24,280","24,280","20,222","20,222",,,,,,,,"20,222.00","20,222.00",0.00,,"20,222.00",,,"20,222.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV-MBO-03,TV B3P,,,,1,Add all to cart using this link,,,"Galaxy Buds3 Pro, Silver [SM-R630NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R630NZAATGY&&products[0].quantity=1&&products[1].productCode=QA65QN990FJXZK&&products[1].quantity=1,"SM-R630NZAATGY, QA65QN990FJXZK",SM-R630NZAATGY,SPP,"
",SM-R630NZAATGY,1,1,"1,998","1,998","1,499","1,499",0,,,0.00,500,RRP,"1,498.00","1,498.00","1,498.00","1,498.00","1,498.00","1,498.00","42,840.00",0.00,"1,498.00","42,840.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"65"" Neo QLED 8K QN990 (2025) [QA65QN990FJXZK]",,,QA65QN990FJXZK,SPP,"
",QA65QN990FJXZK,1,1,"46,980","46,980","41,342","41,342",,,,,,,,"41,342.00","41,342.00",0.00,,"41,342.00",,,"41,342.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TV-MBO-04,TV B3,,,,1,Add all to cart using this link,,,"Galaxy Buds3, Silver [SM-R530NZAATGY]",https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=SM-R530NZAATGY&&products[0].quantity=1&&products[1].productCode=QA55S95FAJXZK&&products[1].quantity=1,"SM-R530NZAATGY, QA55S95FAJXZK",SM-R530NZAATGY,SPP,"
",SM-R530NZAATGY,1,1,"1,398","1,398","1,049","1,049",0,,,0.00,500,RRP,898.00,898.00,898.00,0.00,0.00,898.00,"21,120.00",0.00,898.00,"21,120.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,"55"" OLED S95F (2025) [QA55S95FAJXZK]",,,QA55S95FAJXZK,SPP,"
",QA55S95FAJXZK,1,1,"23,480","23,480","20,222","20,222",,,,,,,,"20,222.00","20,222.00",0.00,,"20,222.00",,,"20,222.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CE-StoreAddon-01,HW-S61 Storewide ,,,,1,Add all to cart using this link,,,S-Series HW-S61D Soundbar [HW-S61D/ZK],https://shop.samsung.com/hk/multistore/hkedu/hkeducation/ng/p4v1/addToCart?products[0].productCode=HW-S61D/ZK&&products[0].quantity=1&&products[1].productCode=SM-A1660ZAGTGY&&products[1].quantity=1,"HW-S61D/ZK, SM-A1660ZAGTGY",HW-S61D/ZK,SPP,"
",HW-S61D/ZK,1,1,"2,490","2,490","2,191","2,191",,,,0.00,1780,Target,"1,780.00","1,780.00","1,780.00",0.00,0.00,"1,780.00","3,090.00",0.00,"1,780.00","3,090.00",,Clear,,,,,,,-,,,,,,,,,,,,,,,,,,,,
,,,,,2,SPP Cart Link,,,Galaxy A165G (6GB + 128GB) Light Gray [SM-A1660ZAGTGY],,,SM-A1660ZAGTGY,SPP,"
",SM-A1660ZAGTGY,1,1,"1,598","1,598","1,310","1,310",,,,,,,,"1,310.00","1,310.00",0.00,,"1,310.00",,,"1,310.00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
